Artifact,Current Version,Newer Versions,Num Newer Versions,Upgrades Available
com.stripe:stripe-java,20.133.0,"22.9.0-beta.2, 22.9.0-beta.1, 22.9.0, 22.8.0-beta.1, 22.8.0, 22.7.0-beta.2, 22.7.0-beta.1, 22.7.0, 22.6.0-beta.2, 22.6.0-beta.1, 22.6.0, 22.5.1, 22.5.0-beta.1, 22.5.0, 22.26.0-beta.1, 22.25.0-beta.1, 22.24.0-beta.2, 22.24.0, 22.23.1, 22.23.0-beta.1, 22.23.0, 22.22.0-beta.1, 22.22.0, 22.21.0-beta.1, 22.21.0, 22.20.0-beta.1, 22.20.0, 22.19.0-beta.1, 22.19.0, 22.18.0-beta.1, 22.18.0, 22.17.0-beta.3, 22.17.0-beta.2, 22.17.0-beta.1, 22.17.0, 22.16.0-beta.1, 22.16.0, 22.15.0-beta.1, 22.15.0, 22.14.0-beta.1, 22.14.0, 22.13.0-beta.1, 22.13.0, 22.12.0-beta.2, 22.12.0-beta.1, 22.12.0, 22.11.0-beta.1, 22.11.0, 22.10.0-beta.1, 22.10.0",50,Major
net.openhft:chronicle-bytes,2.19.0,"2.24ea9, 2.24ea8, 2.24ea7, 2.24ea6, 2.24ea5, 2.24ea4, 2.24ea3, 2.24ea2, 2.24ea14, 2.24ea13, 2.24ea12, 2.24ea11, 2.24ea10, 2.24ea1, 2.24ea0, 2.23ea9, 2.23ea8, 2.23ea7, 2.23ea6, 2.23ea5, 2.23ea4, 2.23ea3, 2.23ea29, 2.23ea28, 2.23ea27, 2.23ea26, 2.23ea25, 2.23ea24, 2.23ea23, 2.23ea22, 2.23ea21, 2.23ea20, 2.23ea2, 2.23ea10, 2.23ea1, 2.23ea0, 2.23.33, 2.23.32, 2.23.31, 2.23.30, 2.22.28, 2.22.27, 2.22.26, 2.22.25, 2.22.24, 2.22.23, 2.22.21, 2.22.20, 2.22.19, 2.21.95",50,Minor
net.openhft:chronicle-core,2.19.0,"2.24ea9, 2.24ea7, 2.24ea6, 2.24ea5, 2.24ea4, 2.24ea3, 2.24ea21, 2.24ea20, 2.24ea2, 2.24ea19, 2.24ea18, 2.24ea17, 2.24ea16, 2.24ea15, 2.24ea14, 2.24ea13, 2.24ea12, 2.24ea11, 2.24ea10, 2.24ea1, 2.24ea0, 2.23ea9, 2.23ea8, 2.23ea7, 2.23ea6, 2.23ea5, 2.23ea34, 2.23ea33, 2.23ea32, 2.23ea31, 2.23ea30, 2.23ea29, 2.23ea28, 2.23ea27, 2.23ea25, 2.23ea24, 2.23ea23, 2.23ea22, 2.23ea21, 2.23ea20, 2.23ea13, 2.23ea12, 2.23ea11, 2.23ea10, 2.23.37, 2.23.36, 2.23.35, 2.22.35, 2.22.34, 2.21.97",50,Minor
net.openhft:chronicle-queue,5.19.2,"5.24ea9, 5.24ea8, 5.24ea7, 5.24ea6, 5.24ea5, 5.24ea4, 5.24ea3, 5.24ea20, 5.24ea2, 5.24ea19, 5.24ea18, 5.24ea17, 5.24ea16, 5.24ea15, 5.24ea14, 5.24ea13, 5.24ea12, 5.24ea11, 5.24ea10, 5.24ea1, 5.24ea0, 5.23ea8, 5.23ea7, 5.23ea6, 5.23ea5, 5.23ea4, 5.23ea34, 5.23ea33, 5.23ea32, 5.23ea31, 5.23ea30, 5.23ea3, 5.23ea25, 5.23ea24, 5.23ea23, 5.23ea22, 5.23ea21, 5.23ea20, 5.23.37, 5.23.36, 5.23.35, 5.22.28, 5.22.27, 5.22.26, 5.22.25, 5.22.24, 5.22.23, 5.22.22, 5.22.21, 5.21.99",50,Minor
net.openhft:chronicle-threads,2.17.27,"2.24ea8, 2.24ea7, 2.24ea6, 2.24ea5, 2.24ea4, 2.24ea3, 2.24ea2, 2.24ea1, 2.24ea0, 2.23ea8, 2.23ea7, 2.23ea6, 2.23ea4, 2.23ea3, 2.23ea24, 2.23ea23, 2.23ea22, 2.23ea21, 2.23ea20, 2.23ea2, 2.23ea1, 2.23ea0, 2.23.25, 2.22ea9, 2.22ea8, 2.22ea7, 2.22ea6, 2.22ea5, 2.22ea4, 2.22ea3, 2.22ea2, 2.22ea11, 2.22ea10, 2.22ea1, 2.22.16, 2.22.15, 2.22.14, 2.22.13, 2.22.12, 2.21ea83, 2.21ea82, 2.21ea81, 2.21ea80, 2.21ea64, 2.21ea63, 2.21ea62, 2.21ea60, 2.21.87, 2.21.86, 2.21.85",50,Minor
net.openhft:chronicle-wire,2.17.71,"2.24ea9, 2.24ea8, 2.24ea7, 2.24ea6, 2.24ea5, 2.24ea4, 2.24ea3, 2.24ea23, 2.24ea22, 2.24ea21, 2.24ea20, 2.24ea2, 2.24ea18, 2.24ea17, 2.24ea16, 2.24ea15, 2.24ea14, 2.24ea13, 2.24ea12, 2.24ea11, 2.24ea10, 2.24ea1, 2.24ea0, 2.23ea38, 2.23ea37, 2.23ea36, 2.23ea35, 2.23ea34, 2.23ea33, 2.23ea32, 2.23ea31, 2.23ea30, 2.23ea27, 2.23ea26, 2.23ea25, 2.23ea24, 2.23ea23, 2.23ea22, 2.23ea21, 2.23ea20, 2.23ea14, 2.23ea13, 2.23ea12, 2.23ea10, 2.23.39, 2.22.22, 2.22.21, 2.22.20, 2.22.19, 2.22.18",50,Minor
org.jooq:jooq,3.14.8,"3.18.5, 3.18.4, 3.18.3, 3.18.2, 3.18.1, 3.18.0, 3.17.9, 3.17.8, 3.17.7, 3.17.6, 3.17.5, 3.17.4, 3.17.3, 3.17.2, 3.17.14, 3.17.13, 3.17.12, 3.17.11, 3.17.10, 3.17.1, 3.17.0, 3.16.9, 3.16.8, 3.16.7, 3.16.6, 3.16.5, 3.16.4, 3.16.3, 3.16.20, 3.16.2, 3.16.19, 3.16.18, 3.16.17, 3.16.16, 3.16.15, 3.16.14, 3.16.13, 3.16.12, 3.16.11, 3.16.10, 3.16.1, 3.16.0, 3.15.9, 3.15.8, 3.15.7, 3.15.6, 3.15.12, 3.15.11, 3.15.10, 3.14.16",50,"Minor, Patch"
org.springframework.kafka:spring-kafka,2.3.7.RELEASE,"3.0.8, 3.0.7, 3.0.6, 3.0.5, 3.0.4, 3.0.3, 3.0.2, 3.0.1, 3.0.0, 2.9.9, 2.9.8, 2.9.7, 2.9.6, 2.9.5, 2.9.4, 2.9.3, 2.9.2, 2.9.1, 2.9.0, 2.8.9, 2.8.8, 2.8.7, 2.8.6, 2.8.5, 2.8.4, 2.8.3, 2.8.2, 2.8.11, 2.8.10, 2.8.1, 2.8.0, 2.7.9, 2.7.8, 2.7.7, 2.7.6, 2.7.5, 2.7.14, 2.7.13, 2.7.12, 2.7.11, 2.7.10, 2.6.13, 2.6.12, 2.6.11, 2.6.10, 2.5.17.RELEASE, 2.5.16.RELEASE, 2.5.15.RELEASE, 2.4.13.RELEASE, 2.3.14.RELEASE",50,"Major, Minor, Patch"
com.google.http-client:google-http-client-protobuf,1.20.0,"1.43.3, 1.43.2, 1.43.1, 1.43.0, 1.42.3, 1.42.2, 1.42.1, 1.42.0, 1.41.8, 1.41.7, 1.41.6, 1.41.5, 1.41.4, 1.41.3, 1.41.2, 1.41.1, 1.41.0, 1.40.1, 1.40.0, 1.39.2-sp.1, 1.39.2, 1.39.1, 1.39.0, 1.38.1, 1.38.0, 1.37.0, 1.36.0, 1.35.0, 1.34.2, 1.34.1, 1.34.0, 1.33.0, 1.32.1, 1.32.0, 1.31.0, 1.30.2, 1.30.1, 1.30.0, 1.29.2, 1.29.1, 1.29.0, 1.28.0, 1.27.0, 1.26.0, 1.25.0, 1.24.1, 1.23.0, 1.22.0, 1.21.0",49,Minor
com.squareup.wire:wire-schema,3.2.2,"4.7.2, 4.7.1, 4.7.0, 4.6.2, 4.6.1, 4.6.0, 4.5.6, 4.5.5, 4.5.4, 4.5.3, 4.5.2, 4.5.1, 4.5.0, 4.4.3, 4.4.2, 4.4.1, 4.4.0, 4.3.0, 4.2.0, 4.1.1, 4.1.0, 4.0.1, 4.0.0-alpha.9, 4.0.0-alpha.8, 4.0.0-alpha.7, 4.0.0-alpha.6, 4.0.0-alpha.5, 4.0.0-alpha.4, 4.0.0-alpha.3, 4.0.0-alpha.20, 4.0.0-alpha.2, 4.0.0-alpha.19, 4.0.0-alpha.18, 4.0.0-alpha.17, 4.0.0-alpha.16, 4.0.0-alpha.15, 4.0.0-alpha.12, 4.0.0-alpha.11, 4.0.0-alpha.10, 4.0.0-alpha.1, 4.0.0, 3.7.1, 3.7.0, 3.6.1, 3.6.0, 3.5.0, 3.4.0, 3.3.0-alpha1, 3.3.0",49,"Major, Minor"
com.squareup.wire:wire-schema,3.2.2,"4.7.2, 4.7.1, 4.7.0, 4.6.2, 4.6.1, 4.6.0, 4.5.6, 4.5.5, 4.5.4, 4.5.3, 4.5.2, 4.5.1, 4.5.0, 4.4.3, 4.4.2, 4.4.1, 4.4.0, 4.3.0, 4.2.0, 4.1.1, 4.1.0, 4.0.1, 4.0.0-alpha.9, 4.0.0-alpha.8, 4.0.0-alpha.7, 4.0.0-alpha.6, 4.0.0-alpha.5, 4.0.0-alpha.4, 4.0.0-alpha.3, 4.0.0-alpha.20, 4.0.0-alpha.2, 4.0.0-alpha.19, 4.0.0-alpha.18, 4.0.0-alpha.17, 4.0.0-alpha.16, 4.0.0-alpha.15, 4.0.0-alpha.12, 4.0.0-alpha.11, 4.0.0-alpha.10, 4.0.0-alpha.1, 4.0.0, 3.7.1, 3.7.0, 3.6.1, 3.6.0, 3.5.0, 3.4.0, 3.3.0-alpha1, 3.3.0",49,"Major, Minor"
com.google.api-client:google-api-client,1.25.0,"2.2.0, 2.1.4, 2.1.3, 2.1.2, 2.1.1, 2.1.0, 2.0.1, 2.0.0, 1.35.2, 1.35.1, 1.35.0, 1.34.1, 1.34.0, 1.33.4, 1.33.2, 1.33.1, 1.33.0, 1.32.2, 1.32.1, 1.31.5, 1.31.4, 1.31.3-sp.1, 1.31.3, 1.31.2, 1.31.1, 1.31.0, 1.30.9, 1.30.8, 1.30.7, 1.30.6, 1.30.5, 1.30.4, 1.30.3, 1.30.2, 1.30.11, 1.30.10, 1.30.1, 1.30.0, 1.29.3, 1.29.2, 1.29.0, 1.28.1, 1.28.0, 1.27.1, 1.27.0, 1.26.1, 1.26.0, 1.25.1",48,"Major, Minor, Patch"
org.springframework.security:spring-security-crypto,5.3.5.RELEASE,"6.1.1, 6.1.0, 6.0.4, 6.0.3, 6.0.2, 6.0.1, 6.0.0, 5.8.4, 5.8.3, 5.8.2, 5.8.1, 5.8.0, 5.7.9, 5.7.8, 5.7.7, 5.7.6, 5.7.5, 5.7.4, 5.7.3, 5.7.2, 5.7.1, 5.7.0, 5.6.9, 5.6.8, 5.6.7, 5.6.6, 5.6.5, 5.6.4, 5.6.3, 5.6.2, 5.6.11, 5.6.10, 5.6.1, 5.6.0, 5.5.8, 5.5.7, 5.5.6, 5.5.5, 5.5.4, 5.5.3, 5.5.2, 5.4.9, 5.4.8, 5.4.11, 5.4.10, 5.3.13.RELEASE, 5.3.12.RELEASE",47,"Major, Minor, Patch"
io.sundr:builder-annotations,0.21.0,"0.95.0, 0.94.0, 0.93.2, 0.93.1, 0.93.0, 0.92.1, 0.92.0, 0.91.1, 0.91.0, 0.90.6, 0.90.5, 0.90.4, 0.90.3, 0.90.2, 0.90.1, 0.90.0, 0.80.1, 0.80.0, 0.70.0, 0.60.0, 0.50.4, 0.50.3, 0.50.2, 0.50.1, 0.50.0, 0.40.1, 0.40.0, 0.30.6, 0.30.5, 0.30.4, 0.30.3, 0.30.2, 0.30.1, 0.30.0, 0.25.1, 0.25.0, 0.24.3, 0.24.2, 0.24.1, 0.24.0, 0.23.1, 0.23.0, 0.22.1, 0.22.0, 0.100.1, 0.100.0",46,Minor
io.sundr:resourcecify-annotations,0.21.0,"0.95.0, 0.94.0, 0.93.2, 0.93.1, 0.93.0, 0.92.1, 0.92.0, 0.91.1, 0.91.0, 0.90.6, 0.90.5, 0.90.4, 0.90.3, 0.90.2, 0.90.1, 0.90.0, 0.80.1, 0.80.0, 0.70.0, 0.60.0, 0.50.4, 0.50.3, 0.50.2, 0.50.1, 0.50.0, 0.40.1, 0.40.0, 0.30.6, 0.30.5, 0.30.4, 0.30.3, 0.30.2, 0.30.1, 0.30.0, 0.25.1, 0.25.0, 0.24.3, 0.24.2, 0.24.1, 0.24.0, 0.23.1, 0.23.0, 0.22.1, 0.22.0, 0.100.1, 0.100.0",46,Minor
io.sundr:sundr-core,0.21.0,"0.95.0, 0.94.0, 0.93.2, 0.93.1, 0.93.0, 0.92.1, 0.92.0, 0.91.1, 0.91.0, 0.90.6, 0.90.5, 0.90.4, 0.90.3, 0.90.2, 0.90.1, 0.90.0, 0.80.1, 0.80.0, 0.70.0, 0.60.0, 0.50.4, 0.50.3, 0.50.2, 0.50.1, 0.50.0, 0.40.1, 0.40.0, 0.30.6, 0.30.5, 0.30.4, 0.30.3, 0.30.2, 0.30.1, 0.30.0, 0.25.1, 0.25.0, 0.24.3, 0.24.2, 0.24.1, 0.24.0, 0.23.1, 0.23.0, 0.22.1, 0.22.0, 0.100.1, 0.100.0",46,Minor
com.google.auth:google-auth-library-credentials,0.18.0,"1.9.0, 1.8.1, 1.8.0, 1.7.0, 1.6.1, 1.6.0, 1.5.3, 1.4.0, 1.3.0, 1.2.2, 1.2.1, 1.2.0, 1.19.0, 1.18.0, 1.17.0, 1.16.1, 1.16.0, 1.15.0, 1.14.0, 1.13.0, 1.12.2, 1.12.1, 1.12.0, 1.11.0, 1.10.0, 1.1.0, 1.0.0, 0.26.0, 0.25.5, 0.25.4, 0.25.3, 0.25.2-sp.1, 0.25.2, 0.25.1, 0.25.0, 0.24.1, 0.24.0, 0.23.0, 0.22.2, 0.22.1, 0.22.0, 0.21.1, 0.21.0, 0.20.0, 0.19.0",45,"Major, Minor"
io.debezium:debezium-api,1.7.2.Final,"2.3.0.Final, 2.3.0.CR1, 2.3.0.Beta1, 2.3.0.Alpha1, 2.2.1.Final, 2.2.0.Final, 2.2.0.CR1, 2.2.0.Beta1, 2.2.0.Alpha3, 2.2.0.Alpha2, 2.2.0.Alpha1, 2.1.4.Final, 2.1.3.Final, 2.1.2.Final, 2.1.1.Final, 2.1.0.Final, 2.1.0.Beta1, 2.1.0.Alpha2, 2.1.0.Alpha1, 2.0.1.Final, 2.0.0.Final, 2.0.0.CR1, 2.0.0.Beta2, 2.0.0.Beta1, 2.0.0.Alpha3, 2.0.0.Alpha2, 2.0.0.Alpha1, 1.9.7.Final, 1.9.6.Final, 1.9.5.Final, 1.9.4.Final, 1.9.3.Final, 1.9.2.Final, 1.9.1.Final, 1.9.0.Final, 1.9.0.CR1, 1.9.0.Beta1, 1.9.0.Alpha2, 1.9.0.Alpha1, 1.8.1.Final, 1.8.0.Final, 1.8.0.CR1, 1.8.0.Beta1, 1.8.0.Alpha2, 1.8.0.Alpha1",45,"Major, Minor"
io.debezium:debezium-connector-mongodb,1.7.2.Final,"2.3.0.Final, 2.3.0.CR1, 2.3.0.Beta1, 2.3.0.Alpha1, 2.2.1.Final, 2.2.0.Final, 2.2.0.CR1, 2.2.0.Beta1, 2.2.0.Alpha3, 2.2.0.Alpha2, 2.2.0.Alpha1, 2.1.4.Final, 2.1.3.Final, 2.1.2.Final, 2.1.1.Final, 2.1.0.Final, 2.1.0.Beta1, 2.1.0.Alpha2, 2.1.0.Alpha1, 2.0.1.Final, 2.0.0.Final, 2.0.0.CR1, 2.0.0.Beta2, 2.0.0.Beta1, 2.0.0.Alpha3, 2.0.0.Alpha2, 2.0.0.Alpha1, 1.9.7.Final, 1.9.6.Final, 1.9.5.Final, 1.9.4.Final, 1.9.3.Final, 1.9.2.Final, 1.9.1.Final, 1.9.0.Final, 1.9.0.CR1, 1.9.0.Beta1, 1.9.0.Alpha2, 1.9.0.Alpha1, 1.8.1.Final, 1.8.0.Final, 1.8.0.CR1, 1.8.0.Beta1, 1.8.0.Alpha2, 1.8.0.Alpha1",45,"Major, Minor"
io.debezium:debezium-core,1.7.2.Final,"2.3.0.Final, 2.3.0.CR1, 2.3.0.Beta1, 2.3.0.Alpha1, 2.2.1.Final, 2.2.0.Final, 2.2.0.CR1, 2.2.0.Beta1, 2.2.0.Alpha3, 2.2.0.Alpha2, 2.2.0.Alpha1, 2.1.4.Final, 2.1.3.Final, 2.1.2.Final, 2.1.1.Final, 2.1.0.Final, 2.1.0.Beta1, 2.1.0.Alpha2, 2.1.0.Alpha1, 2.0.1.Final, 2.0.0.Final, 2.0.0.CR1, 2.0.0.Beta2, 2.0.0.Beta1, 2.0.0.Alpha3, 2.0.0.Alpha2, 2.0.0.Alpha1, 1.9.7.Final, 1.9.6.Final, 1.9.5.Final, 1.9.4.Final, 1.9.3.Final, 1.9.2.Final, 1.9.1.Final, 1.9.0.Final, 1.9.0.CR1, 1.9.0.Beta1, 1.9.0.Alpha2, 1.9.0.Alpha1, 1.8.1.Final, 1.8.0.Final, 1.8.0.CR1, 1.8.0.Beta1, 1.8.0.Alpha2, 1.8.0.Alpha1",45,"Major, Minor"
io.dropwizard.metrics:metrics-annotation,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-core,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-graphite,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-healthchecks,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-jersey2,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-jetty9,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-jmx,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-json,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-jvm,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-logback,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
io.dropwizard.metrics:metrics-servlets,4.1.19,"4.2.9, 4.2.8, 4.2.7, 4.2.6, 4.2.5, 4.2.4, 4.2.3, 4.2.2, 4.2.19, 4.2.18, 4.2.17, 4.2.16, 4.2.15, 4.2.14, 4.2.13, 4.2.12, 4.2.11, 4.2.10, 4.2.1, 4.2.0-rc.3, 4.2.0-rc.2, 4.2.0-rc.1, 4.2.0-beta.4, 4.2.0-beta.3, 4.2.0-beta.2, 4.2.0-beta.1, 4.2.0, 4.1.36, 4.1.35, 4.1.34, 4.1.33, 4.1.32, 4.1.31, 4.1.30, 4.1.29, 4.1.28, 4.1.27, 4.1.26, 4.1.25, 4.1.24, 4.1.23, 4.1.22, 4.1.21, 4.1.20",44,"Minor, Patch"
com.google.auth:google-auth-library-oauth2-http,0.20.0,"1.9.0, 1.8.1, 1.8.0, 1.7.0, 1.6.1, 1.6.0, 1.5.3, 1.4.0, 1.3.0, 1.2.2, 1.2.1, 1.2.0, 1.19.0, 1.18.0, 1.17.0, 1.16.1, 1.16.0, 1.15.0, 1.14.0, 1.13.0, 1.12.2, 1.12.1, 1.12.0, 1.11.0, 1.10.0, 1.1.0, 1.0.0, 0.26.0, 0.25.5, 0.25.4, 0.25.3, 0.25.2-sp.1, 0.25.2, 0.25.1, 0.25.0, 0.24.1, 0.24.0, 0.23.0, 0.22.2, 0.22.1, 0.22.0, 0.21.1, 0.21.0",43,"Major, Minor"
io.dropwizard:dropwizard-assets,2.0.21,"4.0.1, 4.0.0-beta.4, 4.0.0-beta.3, 4.0.0-beta.1, 4.0.0, 3.0.1, 3.0.0-beta.5, 3.0.0-beta.4, 3.0.0-beta.3, 3.0.0-beta.2, 3.0.0-beta.1, 3.0.0, 2.1.7, 2.1.6, 2.1.5, 2.1.4, 2.1.3, 2.1.2, 2.1.1, 2.1.0-beta.9, 2.1.0-beta.8, 2.1.0-beta.7, 2.1.0-beta.6, 2.1.0-beta.5, 2.1.0-beta.4, 2.1.0-beta.3, 2.1.0-beta.2, 2.1.0-beta.1, 2.1.0, 2.0.35, 2.0.34, 2.0.33, 2.0.32, 2.0.31, 2.0.30, 2.0.29, 2.0.28, 2.0.27, 2.0.26, 2.0.25, 2.0.24, 2.0.23, 2.0.22",43,"Major, Minor, Patch"
io.dropwizard:dropwizard-auth,2.0.21,"4.0.1, 4.0.0-beta.4, 4.0.0-beta.3, 4.0.0-beta.1, 4.0.0, 3.0.1, 3.0.0-beta.5, 3.0.0-beta.4, 3.0.0-beta.3, 3.0.0-beta.2, 3.0.0-beta.1, 3.0.0, 2.1.7, 2.1.6, 2.1.5, 2.1.4, 2.1.3, 2.1.2, 2.1.1, 2.1.0-beta.9, 2.1.0-beta.8, 2.1.0-beta.7, 2.1.0-beta.6, 2.1.0-beta.5, 2.1.0-beta.4, 2.1.0-beta.3, 2.1.0-beta.2, 2.1.0-beta.1, 2.1.0, 2.0.35, 2.0.34, 2.0.33, 2.0.32, 2.0.31, 2.0.30, 2.0.29, 2.0.28, 2.0.27, 2.0.26, 2.0.25, 2.0.24, 2.0.23, 2.0.22",43,"Major, Minor, Patch"
