Artifact,Current Version,Newer Versions,Num Newer Versions,Upgrades Available
com.google.apis:google-api-services-servicecontrol,v1-rev142-1.25.0,"v2-rev20230317-2.0.0, v2-rev20230210-2.0.0, v2-rev20230127-2.0.0, v2-rev20221014-2.0.0, v2-rev20220915-2.0.0, v2-rev20220325-2.0.0, v2-rev20220325-1.32.1, v2-rev20220315-1.32.1, v2-rev20220218-1.32.1, v2-rev20210924-1.32.1, v2-rev20210813-1.32.1, v2-rev20210603-1.32.1, v2-rev20210603-1.31.5, v2-rev20210603-1.31.0, v2-rev20210513-1.31.0, v2-rev20210422-1.31.0, v2-rev20210401-1.31.0, v2-rev20210326-1.31.0, v2-rev20210205-1.31.0, v2-rev20210130-1.31.0, v2-rev20201207-1.31.0, v1-rev20230317-2.0.0, v1-rev20230221-2.0.0, v1-rev20230210-2.0.0, v1-rev20230127-2.0.0, v1-rev20230104-2.0.0, v1-rev20221014-2.0.0, v1-rev20220923-2.0.0, v1-rev20220915-2.0.0, v1-rev20220506-2.0.0, v1-rev20220506-1.32.1, v1-rev20220429-1.32.1, v1-rev20220315-1.32.1, v1-rev20220218-1.32.1, v1-rev20220114-1.32.1, v1-rev20211022-1.32.1, v1-rev20210924-1.32.1, v1-rev20210813-1.32.1, v1-rev20210603-1.32.1, v1-rev20210603-1.31.5, v1-rev20210603-1.31.0, v1-rev20210430-1.31.0, v1-rev20210422-1.31.0, v1-rev20210416-1.31.0, v1-rev20210401-1.31.0, v1-rev20210326-1.31.0, v1-rev20210212-1.31.0, v1-rev20210205-1.31.0, v1-rev20210130-1.31.0, v1-rev20201207-1.31.0",50,Major
com.google.apis:google-api-services-storage,v1-rev131-1.22.0,"v1beta2-rev203-1.25.0, v1beta2-rev203-1.18.0-rc, v1beta2-rev20191127-1.30.9, v1beta2-rev20191127-1.30.8, v1beta2-rev20191127-1.30.10, v1beta2-rev201-1.25.0, v1beta2-rev201-1.18.0-rc, v1-rev20230617-2.0.0, v1-rev20230301-2.0.0, v1-rev20220705-2.0.0, v1-rev20220705-1.32.1, v1-rev20220608-1.32.1, v1-rev20220604-1.32.1, v1-rev20220509-1.32.1, v1-rev20220401-1.32.1, v1-rev20220328-1.32.1, v1-rev20220210-1.32.1, v1-rev20211201-1.32.1, v1-rev20211018-1.32.1, v1-rev20210918-1.32.1, v1-rev20210914-1.32.1, v1-rev20210127-1.32.1, v1-rev20210127-1.31.5, v1-rev20210127-1.31.0, v1-rev20201112-1.31.0, v1-rev20201112-1.30.10, v1-rev20201106-1.30.10, v1-rev20200927-1.30.10, v1-rev20200915-1.30.10, v1-rev20200821-1.30.10, v1-rev20200814-1.30.10, v1-rev20200813-1.30.10, v1-rev20200727-1.30.10, v1-rev20200611-1.30.9, v1-rev20200611-1.30.10, v1-rev20200430-1.30.9, v1-rev20200410-1.30.9, v1-rev20200326-1.30.9, v1-rev20200226-1.30.9, v1-rev20191127-1.30.9, v1-rev20191127-1.30.8, v1-rev20191127-1.29.2, v1-rev20191127-1.28.0, v1-rev20191011-1.30.3, v1-rev20191011-1.29.2, v1-rev20191011-1.28.0, v1-rev171-1.25.0, v1-rev171-1.18.0-rc, v1-rev169-1.25.0, v1-rev169-1.18.0-rc",50,Major
com.google.cloud.datastore:datastore-v1-proto-client,1.6.0,"2.9.1, 2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.1, 2.5.0, 2.4.0, 2.3.1, 2.3.0, 2.2.9, 2.2.8, 2.2.7, 2.2.6, 2.2.5, 2.2.4, 2.2.3, 2.2.11, 2.2.10, 2.16.0, 2.15.0, 2.14.7, 2.14.6, 2.14.5, 2.14.4, 2.14.3, 2.14.2, 2.14.1, 2.14.0, 2.13.6, 2.13.5, 2.13.4, 2.13.3, 2.13.2, 2.13.1, 2.13.0, 2.12.5, 2.12.4, 2.12.3, 2.12.2, 2.12.1, 2.12.0, 2.11.5, 2.11.4, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.10.1, 2.10.0",50,Major
com.google.cloud:google-cloud-bigquery,1.106.0,"2.29.0, 2.28.0, 2.27.1, 2.27.0, 2.26.1, 2.26.0, 2.25.0, 2.24.5, 2.24.4, 2.24.3, 2.24.2, 2.24.1, 2.24.0, 2.23.2, 2.23.1, 2.23.0, 2.22.0, 2.21.0, 2.20.2, 2.20.1, 2.20.0, 2.19.1, 2.19.0, 2.18.2, 2.18.0, 2.17.1, 2.17.0, 2.16.1, 2.16.0, 2.15.0, 2.14.7, 2.14.6, 2.14.5, 2.14.4, 2.14.3, 2.14.2, 2.14.1, 2.14.0, 2.13.8, 2.13.7, 2.13.6, 2.13.5, 2.13.4, 2.13.3, 2.13.2, 2.13.1, 2.13.0, 2.12.0, 2.11.2, 2.11.1",50,Major
com.google.cloud:google-cloud-bigquerydatatransfer,0.126.0-beta,"2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.0, 2.4.0, 2.3.9, 2.3.8, 2.3.7, 2.3.6, 2.3.5, 2.3.4, 2.3.3, 2.3.2, 2.3.17, 2.3.16, 2.3.15, 2.3.14, 2.3.13, 2.3.12, 2.3.11, 2.3.10, 2.3.1, 2.3.0, 2.20.0, 2.2.6, 2.2.5, 2.2.4, 2.2.3, 2.2.2, 2.2.1, 2.2.0, 2.19.0, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0, 2.1.23, 2.1.22, 2.1.21, 2.1.20, 2.1.19, 2.1.18, 2.1.17, 2.1.16",50,Major
com.google.cloud:google-cloud-core-grpc,1.93.7,"2.9.4, 2.9.3, 2.9.2, 2.9.1, 2.9.0, 2.8.9, 2.8.8, 2.8.7, 2.8.6, 2.8.5, 2.8.4, 2.8.3, 2.8.28, 2.8.27, 2.8.26, 2.8.24, 2.8.23, 2.8.22, 2.8.21, 2.8.20, 2.8.19, 2.8.18, 2.8.17, 2.8.16, 2.8.15, 2.8.14, 2.8.13, 2.8.12, 2.8.11, 2.8.10, 2.8.1, 2.8.0, 2.7.1, 2.7.0, 2.6.1, 2.6.0, 2.5.11, 2.5.10, 2.20.0, 2.19.0, 2.18.1, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0",50,Major
com.google.cloud:google-cloud-core-http,1.92.4,"2.9.4, 2.9.3, 2.9.2, 2.9.1, 2.9.0, 2.8.9, 2.8.8, 2.8.7, 2.8.6, 2.8.5, 2.8.4, 2.8.3, 2.8.28, 2.8.27, 2.8.26, 2.8.24, 2.8.23, 2.8.22, 2.8.21, 2.8.20, 2.8.19, 2.8.18, 2.8.17, 2.8.16, 2.8.15, 2.8.14, 2.8.13, 2.8.12, 2.8.11, 2.8.10, 2.8.1, 2.8.0, 2.7.1, 2.7.0, 2.6.1, 2.6.0, 2.5.11, 2.5.10, 2.20.0, 2.19.0, 2.18.1, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0",50,Major
com.google.cloud:google-cloud-core,1.92.4,"2.9.4, 2.9.3, 2.9.2, 2.9.1, 2.9.0, 2.8.9, 2.8.8, 2.8.7, 2.8.6, 2.8.5, 2.8.4, 2.8.3, 2.8.28, 2.8.27, 2.8.26, 2.8.24, 2.8.23, 2.8.22, 2.8.21, 2.8.20, 2.8.19, 2.8.18, 2.8.17, 2.8.16, 2.8.15, 2.8.14, 2.8.13, 2.8.12, 2.8.11, 2.8.10, 2.8.1, 2.8.0, 2.7.1, 2.7.0, 2.6.1, 2.6.0, 2.5.11, 2.5.10, 2.20.0, 2.19.0, 2.18.1, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0",50,Major
com.google.cloud:google-cloud-datastore,1.79.0,"2.9.1, 2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.1, 2.5.0, 2.4.0, 2.3.1, 2.3.0, 2.2.9, 2.2.8, 2.2.7, 2.2.6, 2.2.5, 2.2.4, 2.2.3, 2.2.11, 2.2.10, 2.16.0, 2.15.0, 2.14.7, 2.14.6, 2.14.5, 2.14.4, 2.14.3, 2.14.2, 2.14.1, 2.14.0, 2.13.6, 2.13.5, 2.13.4, 2.13.3, 2.13.2, 2.13.1, 2.13.0, 2.12.5, 2.12.4, 2.12.3, 2.12.2, 2.12.1, 2.12.0, 2.11.5, 2.11.4, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.10.1, 2.10.0",50,Major
com.google.cloud:google-cloud-iamcredentials,1.0.2,"2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.0, 2.4.0, 2.3.6, 2.3.5, 2.3.4, 2.3.2, 2.3.0, 2.20.0, 2.2.0, 2.19.0, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0, 2.1.0, 2.0.9, 2.0.8, 2.0.7, 2.0.6, 2.0.5, 2.0.4, 2.0.3, 2.0.2, 2.0.15, 2.0.14, 2.0.13, 2.0.12, 2.0.11, 2.0.10, 2.0.1, 2.0.0, 1.3.2, 1.3.1, 1.3.0, 1.2.5, 1.2.4, 1.2.3, 1.2.2, 1.2.1, 1.2.0, 1.1.9",50,"Major, Minor"
